date,open
2016/9/22,597.28
2016/9/23,596.2
2016/9/24,602.96
2016/9/25,602.75
2016/9/26,600.81
2016/9/27,608.02
2016/9/28,606.24
2016/9/29,605.02
2016/9/30,605.72
2016/10/1,609.93
2016/10/2,613.95
2016/10/3,610.97
2016/10/4,612.05
2016/10/5,610.22
2016/10/6,612.47
2016/10/7,612.61
2016/10/8,617.34
2016/10/9,619.17
2016/10/10,616.82
2016/10/11,619.24
2016/10/12,640.87
2016/10/13,636.03
2016/10/14,637.01
2016/10/15,640.31
2016/10/16,639.08
2016/10/17,641.82
2016/10/18,639.41
2016/10/19,638.13
2016/10/20,630.66
2016/10/21,630.83
2016/10/22,633.14
2016/10/23,657.62
2016/10/24,657.16
2016/10/25,654
2016/10/26,657.68
2016/10/27,678.21
2016/10/28,688
2016/10/29,690.29
2016/10/30,714.12
2016/10/31,702.64
2016/11/1,701.34
2016/11/2,730.07
2016/11/3,742.35
2016/11/4,689.12
2016/11/5,703.53
2016/11/6,703.81
2016/11/7,710.74
2016/11/8,703.09
2016/11/9,709.83
2016/11/10,722.84
2016/11/11,715.55
2016/11/12,716.75
2016/11/13,705.2
2016/11/14,702
2016/11/15,705.79
2016/11/16,711.17
2016/11/17,744.88
2016/11/18,740.71
2016/11/19,751.83
2016/11/20,751.88
2016/11/21,731.27
2016/11/22,739.64
2016/11/23,751.74
2016/11/24,744.62
2016/11/25,740.44
2016/11/26,741.51
2016/11/27,735.44
2016/11/28,732.48
2016/11/29,736.33
2016/11/30,736.28
2016/12/1,746.05
2016/12/2,757.54
2016/12/3,778.25
2016/12/4,771.64
2016/12/5,773.39
2016/12/6,758.72
2016/12/7,764.21
2016/12/8,768.08
2016/12/9,769.94
2016/12/10,773.02
2016/12/11,774.75
2016/12/12,770.04
2016/12/13,780.65
2016/12/14,780.01
2016/12/15,780.07
2016/12/16,778.96
2016/12/17,785.17
2016/12/18,791.01
2016/12/19,790.69
2016/12/20,792.25
2016/12/21,800.64
2016/12/22,834.18
2016/12/23,864.89
2016/12/24,922.18
2016/12/25,899.65
2016/12/26,896.91
2016/12/27,908.35
2016/12/28,934.83
2016/12/29,975.13
2016/12/30,972.53
2016/12/31,960.63
2017/1/1,963.66
2017/1/2,998.62
2017/1/3,1021.6
2017/1/4,1044.4
2017/1/5,1156.73
2017/1/6,1014.24
2017/1/7,903.49
2017/1/8,908.17
2017/1/9,913.24
2017/1/10,902.44
2017/1/11,908.11
2017/1/12,775.18
2017/1/13,803.74
2017/1/14,825.14
2017/1/15,818.14
2017/1/16,821.78
